name,onset,offset,duration
fixation.ivt,3900,4040,140
fixation.ivt,4160,4440,280
fixation.ivt,4760,4920,160
fixation.ivt,5200,5300,100
fixation.ivt,5400,5760,360
fixation.ivt,6080,6280,200
fixation.ivt,6400,6640,240
fixation.ivt,6740,6840,100
fixation.ivt,6960,7060,100
fixation.ivt,7160,7320,160
fixation.ivt,7380,7540,160
fixation.ivt,7580,7800,220
fixation.ivt,8100,8400,300
fixation.ivt,8720,8820,100
fixation.ivt,8920,9040,120
fixation.ivt,9140,9520,380
fixation.ivt,9640,9780,140
fixation.ivt,9900,10000,100
fixation.ivt,10120,10340,220
fixation.ivt,10580,10720,140
fixation.ivt,10820,11260,440
fixation.ivt,11640,11740,100
fixation.ivt,12000,12200,200
fixation.ivt,12520,12620,100
fixation.ivt,12740,13000,260
fixation.ivt,13100,13440,340
fixation.ivt,13720,13860,140
fixation.ivt,13940,14260,320
fixation.ivt,14360,14560,200
fixation.ivt,14680,14780,100
fixation.ivt,14900,15020,120
fixation.ivt,15280,15380,100
fixation.ivt,15480,15880,400
fixation.ivt,15980,16160,180
fixation.ivt,17120,17220,100
fixation.ivt,17300,17460,160
fixation.ivt,18420,18620,200
fixation.ivt,18740,18880,140
fixation.ivt,19400,19540,140
fixation.ivt,19640,19880,240
fixation.ivt,20640,20780,140
fixation.ivt,21240,21440,200
fixation.ivt,21560,22200,640
fixation.ivt,22700,22840,140
fixation.ivt,22940,23080,140
fixation.ivt,23140,23380,240
fixation.ivt,23500,23780,280
fixation.ivt,23900,24500,600
fixation.ivt,25940,26100,160
fixation.ivt,27320,27440,120
fixation.ivt,27680,27820,140
fixation.ivt,27940,28180,240
fixation.ivt,28680,28860,180
fixation.ivt,29680,29820,140
fixation.ivt,40,160,120
fixation.ivt,260,560,300
fixation.ivt,660,760,100
fixation.ivt,860,1040,180
fixation.ivt,1500,1600,100
fixation.ivt,1680,1900,220
fixation.ivt,1980,2120,140
fixation.ivt,2360,2640,280
fixation.ivt,3280,3600,320
fixation.ivt,3700,3820,120
fixation.ivt,3900,4040,140
fixation.ivt,4160,4440,280
fixation.ivt,4760,4920,160
fixation.ivt,5200,5300,100
fixation.ivt,5400,5760,360
fixation.ivt,6080,6280,200
fixation.ivt,6400,6640,240
fixation.ivt,6740,6840,100
fixation.ivt,6960,7060,100
fixation.ivt,7160,7320,160
fixation.ivt,7380,7540,160
fixation.ivt,7580,7800,220
fixation.ivt,8100,8400,300
fixation.ivt,8720,8820,100
fixation.ivt,8920,9040,120
fixation.ivt,9140,9520,380
fixation.ivt,9640,9780,140
fixation.ivt,9900,10000,100
fixation.ivt,10120,10340,220
fixation.ivt,10580,10720,140
fixation.ivt,10820,11260,440
fixation.ivt,11640,11740,100
fixation.ivt,12000,12200,200
fixation.ivt,12520,12620,100
fixation.ivt,12740,13000,260
fixation.ivt,13100,13440,340
fixation.ivt,13720,13860,140
fixation.ivt,13940,14260,320
fixation.ivt,14360,14560,200
fixation.ivt,14680,14780,100
fixation.ivt,14900,15020,120
fixation.ivt,15280,15380,100
fixation.ivt,15480,15880,400
fixation.ivt,15980,16160,180
fixation.ivt,17120,17220,100
fixation.ivt,17300,17460,160
fixation.ivt,18420,18620,200
fixation.ivt,18740,18880,140
fixation.ivt,19400,19540,140
fixation.ivt,19640,19880,240
fixation.ivt,20640,20780,140
fixation.ivt,21240,21440,200
fixation.ivt,21560,22200,640
fixation.ivt,22700,22840,140
fixation.ivt,22940,23080,140
fixation.ivt,23140,23380,240
fixation.ivt,23500,23780,280
fixation.ivt,23900,24500,600
fixation.ivt,25940,26100,160
fixation.ivt,27320,27440,120
fixation.ivt,27680,27820,140
fixation.ivt,27940,28180,240
fixation.ivt,28680,28860,180
fixation.ivt,29680,29820,140
fixation.ivt,40,160,120
fixation.ivt,260,560,300
fixation.ivt,660,760,100
fixation.ivt,860,1040,180
fixation.ivt,1500,1600,100
fixation.ivt,1680,1900,220
fixation.ivt,1980,2120,140
fixation.ivt,2360,2640,280
fixation.ivt,3280,3600,320
fixation.ivt,3700,3820,120
fixation.ivt,3900,4040,140
fixation.ivt,4160,4440,280
fixation.ivt,4760,4920,160
fixation.ivt,5200,5300,100
fixation.ivt,5400,5760,360
fixation.ivt,6080,6280,200
fixation.ivt,6400,6640,240
fixation.ivt,6740,6840,100
fixation.ivt,6960,7060,100
fixation.ivt,7160,7320,160
fixation.ivt,7380,7540,160
fixation.ivt,7580,7800,220
fixation.ivt,8100,8400,300
fixation.ivt,8720,8820,100
fixation.ivt,8920,9040,120
fixation.ivt,9140,9520,380
fixation.ivt,9640,9780,140
fixation.ivt,9900,10000,100
fixation.ivt,10120,10340,220
fixation.ivt,10580,10720,140
fixation.ivt,10820,11260,440
fixation.ivt,11640,11740,100
fixation.ivt,12000,12200,200
fixation.ivt,12520,12620,100
fixation.ivt,12740,13000,260
fixation.ivt,13100,13440,340
fixation.ivt,13720,13860,140
fixation.ivt,13940,14260,320
fixation.ivt,14360,14560,200
fixation.ivt,14680,14780,100
fixation.ivt,14900,15020,120
fixation.ivt,15280,15380,100
fixation.ivt,15480,15880,400
fixation.ivt,15980,16160,180
fixation.ivt,17120,17220,100
fixation.ivt,17300,17460,160
fixation.ivt,18420,18620,200
fixation.ivt,18740,18880,140
fixation.ivt,19400,19540,140
fixation.ivt,19640,19880,240
fixation.ivt,20640,20780,140
fixation.ivt,21240,21440,200
fixation.ivt,21560,22200,640
fixation.ivt,22700,22840,140
fixation.ivt,22940,23080,140
fixation.ivt,23140,23380,240
fixation.ivt,23500,23780,280
fixation.ivt,23900,24500,600
fixation.ivt,25940,26100,160
fixation.ivt,27320,27440,120
fixation.ivt,27680,27820,140
fixation.ivt,27940,28180,240
fixation.ivt,28680,28860,180
fixation.ivt,29680,29820,140
fixation.ivt,40,160,120
fixation.ivt,260,560,300
fixation.ivt,660,760,100
fixation.ivt,860,1040,180
fixation.ivt,1500,1600,100
fixation.ivt,1680,1900,220
fixation.ivt,1980,2120,140
fixation.ivt,2360,2640,280
fixation.ivt,3280,3600,320
fixation.ivt,3700,3820,120
fixation.ivt,3900,4040,140
fixation.ivt,4160,4440,280
fixation.ivt,4760,4920,160
fixation.ivt,5200,5300,100
fixation.ivt,5400,5760,360
fixation.ivt,6080,6280,200
fixation.ivt,6400,6640,240
fixation.ivt,6740,6840,100
fixation.ivt,6960,7060,100
fixation.ivt,7160,7320,160
fixation.ivt,7380,7540,160
fixation.ivt,7580,7800,220
fixation.ivt,8100,8400,300
fixation.ivt,8720,8820,100
fixation.ivt,8920,9040,120
fixation.ivt,9140,9520,380
fixation.ivt,9640,9780,140
fixation.ivt,9900,10000,100
fixation.ivt,10120,10340,220
fixation.ivt,10580,10720,140
fixation.ivt,10820,11260,440
fixation.ivt,11640,11740,100
fixation.ivt,12000,12200,200
fixation.ivt,12520,12620,100
fixation.ivt,12740,13000,260
fixation.ivt,13100,13440,340
fixation.ivt,13720,13860,140
fixation.ivt,13940,14260,320
fixation.ivt,14360,14560,200
fixation.ivt,14680,14780,100
fixation.ivt,14900,15020,120
fixation.ivt,15280,15380,100
fixation.ivt,15480,15880,400
fixation.ivt,15980,16160,180
fixation.ivt,17120,17220,100
fixation.ivt,17300,17460,160
fixation.ivt,18420,18620,200
fixation.ivt,18740,18880,140
fixation.ivt,19400,19540,140
fixation.ivt,19640,19880,240
fixation.ivt,20640,20780,140
fixation.ivt,21240,21440,200
fixation.ivt,21560,22200,640
fixation.ivt,22700,22840,140
fixation.ivt,22940,23080,140
fixation.ivt,23140,23380,240
fixation.ivt,23500,23780,280
fixation.ivt,23900,24500,600
fixation.ivt,25940,26100,160
fixation.ivt,27320,27440,120
fixation.ivt,27680,27820,140
fixation.ivt,27940,28180,240
fixation.ivt,28680,28860,180
fixation.ivt,29680,29820,140
fixation.ivt,40,160,120
fixation.ivt,260,560,300
fixation.ivt,660,760,100
fixation.ivt,860,1040,180
fixation.ivt,1500,1600,100
fixation.ivt,1680,1900,220
fixation.ivt,1980,2120,140
fixation.ivt,2360,2640,280
fixation.ivt,3280,3600,320
fixation.ivt,3700,3820,120
fixation.ivt,3900,4040,140
fixation.ivt,4160,4440,280
fixation.ivt,4760,4920,160
fixation.ivt,5200,5300,100
fixation.ivt,5400,5760,360
fixation.ivt,6080,6280,200
fixation.ivt,6400,6640,240
fixation.ivt,6740,6840,100
fixation.ivt,6960,7060,100
fixation.ivt,7160,7320,160
fixation.ivt,7380,7540,160
fixation.ivt,7580,7800,220
fixation.ivt,8100,8400,300
fixation.ivt,8720,8820,100
fixation.ivt,8920,9040,120
fixation.ivt,9140,9520,380
fixation.ivt,9640,9780,140
fixation.ivt,9900,10000,100
fixation.ivt,10120,10340,220
fixation.ivt,10580,10720,140
fixation.ivt,10820,11260,440
fixation.ivt,11640,11740,100
fixation.ivt,12000,12200,200
fixation.ivt,12520,12620,100
fixation.ivt,12740,13000,260
fixation.ivt,13100,13440,340
fixation.ivt,13720,13860,140
fixation.ivt,13940,14260,320
fixation.ivt,14360,14560,200
fixation.ivt,14680,14780,100
fixation.ivt,14900,15020,120
fixation.ivt,15280,15380,100
fixation.ivt,15480,15880,400
fixation.ivt,15980,16160,180
fixation.ivt,17120,17220,100
fixation.ivt,17300,17460,160
fixation.ivt,18420,18620,200
fixation.ivt,18740,18880,140
fixation.ivt,19400,19540,140
fixation.ivt,19640,19880,240
fixation.ivt,20640,20780,140
fixation.ivt,21240,21440,200
fixation.ivt,21560,22200,640
fixation.ivt,22700,22840,140
fixation.ivt,22940,23080,140
fixation.ivt,23140,23380,240
fixation.ivt,23500,23780,280
fixation.ivt,23900,24500,600
fixation.ivt,25940,26100,160
fixation.ivt,27320,27440,120
fixation.ivt,27680,27820,140
fixation.ivt,27940,28180,240
fixation.ivt,28680,28860,180
fixation.ivt,29680,29820,140
fixation.ivt,40,160,120
fixation.ivt,260,560,300
fixation.ivt,660,760,100
fixation.ivt,860,1040,180
fixation.ivt,1500,1600,100
fixation.ivt,1680,1900,220
fixation.ivt,1980,2120,140
fixation.ivt,2360,2640,280
fixation.ivt,3280,3600,320
fixation.ivt,3700,3820,120
fixation.ivt,3900,4040,140
fixation.ivt,4160,4440,280
fixation.ivt,4760,4920,160
fixation.ivt,5200,5300,100
fixation.ivt,5400,5760,360
fixation.ivt,6080,6280,200
fixation.ivt,6400,6640,240
fixation.ivt,6740,6840,100
fixation.ivt,6960,7060,100
fixation.ivt,7160,7320,160
fixation.ivt,7380,7540,160
fixation.ivt,7580,7800,220
fixation.ivt,8100,8400,300
fixation.ivt,8720,8820,100
fixation.ivt,8920,9040,120
fixation.ivt,9140,9520,380
fixation.ivt,9640,9780,140
fixation.ivt,9900,10000,100
fixation.ivt,10120,10340,220
fixation.ivt,10580,10720,140
fixation.ivt,10820,11260,440
fixation.ivt,11640,11740,100
fixation.ivt,12000,12200,200
fixation.ivt,12520,12620,100
fixation.ivt,12740,13000,260
fixation.ivt,13100,13440,340
fixation.ivt,13720,13860,140
fixation.ivt,13940,14260,320
fixation.ivt,14360,14560,200
fixation.ivt,14680,14780,100
fixation.ivt,14900,15020,120
fixation.ivt,15280,15380,100
fixation.ivt,15480,15880,400
fixation.ivt,15980,16160,180
fixation.ivt,17120,17220,100
fixation.ivt,17300,17460,160
fixation.ivt,18420,18620,200
fixation.ivt,18740,18880,140
fixation.ivt,19400,19540,140
fixation.ivt,19640,19880,240
fixation.ivt,20640,20780,140
fixation.ivt,21240,21440,200
fixation.ivt,21560,22200,640
fixation.ivt,22700,22840,140
fixation.ivt,22940,23080,140
fixation.ivt,23140,23380,240
fixation.ivt,23500,23780,280
fixation.ivt,23900,24500,600
fixation.ivt,25940,26100,160
fixation.ivt,27320,27440,120
fixation.ivt,27680,27820,140
fixation.ivt,27940,28180,240
fixation.ivt,28680,28860,180
fixation.ivt,29680,29820,140
saccade,200,220,20
saccade,600,640,40
saccade,800,840,40
saccade,1060,1120,60
saccade,1160,1180,20
saccade,1220,1300,80
saccade,1440,1480,40
saccade,1620,1640,20
saccade,1920,1940,20
saccade,2160,2200,40
saccade,2660,2740,80
saccade,3020,3060,40
saccade,3180,3260,80
saccade,3640,3680,40
saccade,4060,4140,80
saccade,4460,4540,80
saccade,4660,4740,80
saccade,4940,4980,40
saccade,5120,5180,60
saccade,5340,5380,40
saccade,5780,5860,80
saccade,6000,6060,60
saccade,6300,6380,80
saccade,6660,6700,40
saccade,6880,6920,40
saccade,7100,7120,20
saccade,7840,7920,80
saccade,8020,8080,60
saccade,8420,8480,60
saccade,8640,8700,60
saccade,8860,8900,40
saccade,9060,9120,60
saccade,9540,9600,60
saccade,9800,9860,60
saccade,10020,10080,60
saccade,10380,10420,40
saccade,10740,10800,60
saccade,11280,11320,40
saccade,11460,11480,20
saccade,11520,11620,100
saccade,11780,11800,20
saccade,12220,12300,80
saccade,12360,12380,20
saccade,12460,12480,20
saccade,12640,12700,60
saccade,13020,13080,60
saccade,13460,13500,40
saccade,13640,13700,60
saccade,13880,13920,40
saccade,14280,14340,60
saccade,14580,14640,60
saccade,14820,14860,40
saccade,15060,15100,40
saccade,15180,15260,80
saccade,15420,15460,40
saccade,15900,15960,60
saccade,16180,16280,100
saccade,16320,16540,220
saccade,16620,16920,300
saccade,16980,17080,100
saccade,17480,17820,340
saccade,17900,18400,500
saccade,18640,18700,60
saccade,18900,19000,100
saccade,19080,19180,100
saccade,19300,19380,80
saccade,19560,19620,60
saccade,19900,19960,60
saccade,20000,20060,60
saccade,20180,20620,440
saccade,20800,21200,400
saccade,21460,21480,20
saccade,21520,21540,20
saccade,22220,22300,80
saccade,22420,22460,40
saccade,22600,22620,20
saccade,22660,22680,20
saccade,22860,22920,60
saccade,23400,23480,80
saccade,23800,23860,60
saccade,24520,24760,240
saccade,24860,24940,80
saccade,25020,25160,140
saccade,25200,25320,120
saccade,25380,25780,400
saccade,26120,26360,240
saccade,26420,26860,440
saccade,26940,26960,20
saccade,27160,27280,120
saccade,27520,27580,60
saccade,27840,27920,80
saccade,28200,28220,20
saccade,28260,28280,20
saccade,28380,28440,60
saccade,28600,28660,60
saccade,28880,28900,20
saccade,28940,28960,20
saccade,29020,29480,460
saccade,29560,29660,100
fixation.ivt,40,160,120
fixation.ivt,260,560,300
fixation.ivt,660,760,100
fixation.ivt,860,1040,180
fixation.ivt,1500,1600,100
fixation.ivt,1680,1900,220
fixation.ivt,1980,2120,140
fixation.ivt,2360,2640,280
fixation.ivt,3280,3600,320
fixation.ivt,3700,3820,120
fixation.ivt,3900,4040,140
fixation.ivt,4160,4440,280
fixation.ivt,4760,4920,160
fixation.ivt,5200,5300,100
fixation.ivt,5400,5760,360
fixation.ivt,6080,6280,200
fixation.ivt,6400,6640,240
fixation.ivt,6740,6840,100
fixation.ivt,6960,7060,100
fixation.ivt,7160,7320,160
fixation.ivt,7380,7540,160
fixation.ivt,7580,7800,220
fixation.ivt,8100,8400,300
fixation.ivt,8720,8820,100
fixation.ivt,8920,9040,120
fixation.ivt,9140,9520,380
fixation.ivt,9640,9780,140
fixation.ivt,9900,10000,100
fixation.ivt,10120,10340,220
fixation.ivt,10580,10720,140
fixation.ivt,10820,11260,440
fixation.ivt,11640,11740,100
fixation.ivt,12000,12200,200
fixation.ivt,12520,12620,100
fixation.ivt,12740,13000,260
fixation.ivt,13100,13440,340
fixation.ivt,13720,13860,140
fixation.ivt,13940,14260,320
fixation.ivt,14360,14560,200
fixation.ivt,14680,14780,100
fixation.ivt,14900,15020,120
fixation.ivt,15280,15380,100
fixation.ivt,15480,15880,400
fixation.ivt,15980,16160,180
fixation.ivt,17120,17220,100
fixation.ivt,17300,17460,160
fixation.ivt,18420,18620,200
fixation.ivt,18740,18880,140
fixation.ivt,19400,19540,140
fixation.ivt,19640,19880,240
fixation.ivt,20640,20780,140
fixation.ivt,21240,21440,200
fixation.ivt,21560,22200,640
fixation.ivt,22700,22840,140
fixation.ivt,22940,23080,140
fixation.ivt,23140,23380,240
fixation.ivt,23500,23780,280
fixation.ivt,23900,24500,600
fixation.ivt,25940,26100,160
fixation.ivt,27320,27440,120
fixation.ivt,27680,27820,140
fixation.ivt,27940,28180,240
fixation.ivt,28680,28860,180
fixation.ivt,29680,29820,140
